KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis,attempt
2.02,-8.25,0.17,9.84,0.39,0.0,0.0,10.0,0,0,0.0,50282,1
1.99,-8.35,0.4,9.95,1.43,0.0,0.0,10.0,0,0,0.0,50489,1
2.01,-8.21,0.19,9.87,0.54,0.0,0.0,10.0,0,0,0.0,50697,1
1.99,-8.26,0.52,9.86,1.14,0.0,0.0,10.0,0,0,0.0,50904,1
2.01,-8.21,0.2,9.85,0.85,0.0,0.0,10.0,0,0,0.0,51114,1
1.98,-8.1,0.18,9.87,0.48,0.0,0.0,10.0,0,0,0.0,51326,1
1.94,-8.1,0.24,9.92,0.93,0.0,0.0,10.0,0,0,0.0,51533,1
1.93,-8.06,0.26,9.82,0.78,0.0,0.0,10.0,0,0,0.0,51740,1
1.93,-8.01,0.35,9.94,0.78,0.0,0.0,10.0,0,0,0.0,51947,1
1.92,-7.91,0.29,9.94,0.56,0.0,0.0,10.0,0,0,0.0,52155,1
1.94,-7.87,0.31,9.9,0.73,0.0,0.0,10.0,0,0,0.0,52363,1
1.97,-7.97,0.37,9.85,1.34,0.0,0.0,10.0,0,0,0.0,52573,1
1.94,-7.98,0.31,9.83,0.89,0.0,0.0,10.0,0,0,0.0,52781,1
1.98,-7.9,0.31,9.85,0.77,0.0,0.0,10.0,0,0,0.0,52989,1
2.02,-7.92,0.24,9.88,1.06,0.0,0.0,10.0,0,0,0.0,53197,1
1.99,-7.99,0.35,9.83,1.2,0.0,0.0,10.0,0,0,0.0,53405,1
1.98,-7.94,0.43,9.85,0.78,0.0,0.0,10.0,0,0,0.0,53612,1
1.99,-7.9,0.22,9.84,0.72,0.0,0.0,10.0,0,0,0.0,53819,1
1.99,-7.95,0.37,9.87,1.12,0.0,0.0,10.0,0,0,0.0,54026,1
1.98,-8.06,0.45,9.92,1.38,0.0,0.0,10.0,0,0,0.0,54235,1
1.97,-8.05,0.34,9.85,0.91,0.0,0.0,10.0,0,0,0.0,54443,1
1.99,-8.03,0.32,9.91,0.87,0.0,0.0,10.0,0,0,0.0,54650,1
1.97,-8.09,0.32,9.9,1.22,0.0,0.0,10.0,0,0,0.0,54858,1
2.03,-8.1,0.41,9.85,1.04,0.0,0.0,10.0,0,0,0.0,55071,1
2.03,-8.02,0.34,9.86,0.67,0.0,0.0,10.0,0,0,0.0,55279,1
2.04,-8.0,0.36,9.95,0.8,0.0,0.0,10.0,0,0,0.0,55487,1
2.04,-7.99,0.43,9.92,0.94,0.0,0.0,10.0,0,0,0.0,55697,1
2.04,-8.06,0.33,9.89,1.24,0.0,0.0,10.0,0,0,0.0,55905,1
2.03,-7.94,0.34,9.87,0.52,0.0,0.0,10.0,0,0,0.0,56113,1
2.04,-7.91,0.4,9.88,0.89,0.0,0.0,10.0,0,0,0.0,56321,1
2.02,-7.92,0.31,9.86,0.94,0.0,0.0,10.0,0,0,0.0,56529,1
1.99,-7.91,0.43,9.89,0.96,0.0,0.0,10.0,0,0,0.0,56737,1
2.0,-7.93,0.25,9.89,1.0,0.0,0.0,10.0,0,0,0.0,56945,1
1.99,-7.85,0.23,9.84,0.71,0.0,0.0,10.0,0,0,0.0,57153,1
1.99,-7.81,0.36,9.8,0.73,0.0,0.0,10.0,0,0,0.0,57363,1
2.02,-7.76,0.27,9.93,0.84,0.0,0.0,10.0,0,0,0.0,57570,1
2.02,-7.79,0.39,9.86,1.11,0.0,0.0,10.0,0,0,0.0,57778,1
1.97,-7.8,0.22,9.9,0.89,0.0,0.0,10.0,0,0,0.0,57986,1
2.0,-7.75,0.2,9.85,0.79,0.0,0.0,10.0,0,0,0.0,58194,1
2.02,-7.82,0.28,9.92,1.31,0.0,0.0,10.0,0,0,0.0,58402,1
2.04,-7.84,0.38,9.94,1.0,0.0,0.0,10.0,0,0,0.0,58610,1
2.05,-7.96,0.37,9.88,1.51,0.0,0.0,10.0,0,0,0.0,58825,1
2.13,-8.07,0.5,9.92,1.49,0.0,0.0,10.0,0,0,0.0,59032,1
2.12,-8.01,0.23,9.87,0.61,0.0,0.0,10.0,0,0,0.0,59239,1
2.11,-8.0,0.48,9.81,0.79,0.0,0.0,10.0,0,0,0.0,59446,1
2.11,-7.97,0.26,9.93,0.9,0.0,0.0,10.0,0,0,0.0,59654,1
2.13,-8.02,0.39,9.88,1.16,0.0,0.0,10.0,0,0,0.0,59862,1
2.14,-7.94,0.28,9.89,0.66,0.0,0.0,10.0,0,0,0.0,60070,1
2.11,-7.96,0.49,9.85,1.01,0.0,0.0,10.0,0,0,0.0,60278,1
2.09,-7.95,0.36,9.9,0.98,0.0,0.0,10.0,0,0,0.0,60488,1
2.1,-7.89,0.29,9.89,0.66,0.0,0.0,10.0,0,0,0.0,60696,1
2.08,-7.88,0.34,9.83,0.93,0.0,0.0,10.0,0,0,0.0,60905,1
2.08,-7.84,0.24,9.89,0.73,0.0,0.0,10.0,0,0,0.0,61112,1
2.1,-7.89,0.55,9.95,1.15,0.0,0.0,10.0,0,0,0.0,61319,1
2.08,-7.83,0.29,9.87,0.68,0.0,0.0,10.0,0,0,0.0,61527,1
2.05,-7.73,0.27,9.85,0.58,0.0,0.0,10.0,0,0,0.0,61734,1
2.04,-7.77,0.33,9.84,1.04,0.0,0.0,10.0,0,0,0.0,61944,1
2.06,-7.83,0.42,9.88,1.32,0.0,0.0,10.0,0,0,0.0,62155,1
2.1,-7.92,0.39,9.81,1.35,0.0,0.0,10.0,0,0,0.0,62362,1
2.11,-7.86,0.31,9.91,0.65,0.0,0.0,10.0,0,0,0.0,62570,1
2.11,-7.81,0.32,9.86,0.76,0.0,0.0,10.0,0,0,0.0,62778,1
2.13,-7.8,0.38,9.9,0.85,0.0,0.0,10.0,0,0,0.0,62985,1
2.13,-7.76,0.23,9.82,0.71,0.0,0.0,10.0,0,0,0.0,63192,1
2.13,-7.75,0.39,9.83,0.96,0.0,0.0,10.0,0,0,0.0,63399,1
2.12,-7.67,0.25,9.93,0.69,0.0,0.0,10.0,0,0,0.0,63610,1
2.09,-7.61,0.3,9.85,0.66,0.0,0.0,10.0,0,0,0.0,63817,1
2.14,-7.58,0.29,9.85,0.85,0.0,0.0,10.0,0,0,0.0,64025,1
2.13,-7.52,0.25,9.84,0.65,0.0,0.0,10.0,0,0,0.0,64233,1
2.14,-7.5,0.27,9.88,0.86,0.0,0.0,10.0,0,0,0.0,64441,1
2.18,-7.59,0.34,9.92,1.32,0.0,0.0,10.0,0,0,0.0,64649,1
2.17,-7.58,0.38,9.87,0.88,0.0,0.0,10.0,0,0,0.0,64856,1
2.17,-7.59,0.39,9.91,1.05,0.0,0.0,10.0,0,0,0.0,65065,1
2.19,-7.63,0.29,9.86,1.02,0.0,0.0,10.0,0,0,0.0,65273,1
2.16,-7.51,0.21,9.89,0.44,0.0,0.0,10.0,0,0,0.0,65481,1
2.14,-7.46,0.18,9.85,0.69,0.0,0.0,10.0,0,0,0.0,65689,1
2.18,-7.42,0.47,9.86,0.8,0.0,0.0,10.0,0,0,0.0,65896,1
2.19,-7.34,0.22,9.89,0.69,0.0,0.0,10.0,0,0,0.0,66109,1
2.19,-7.28,0.24,9.83,0.62,0.0,0.0,10.0,0,0,0.0,66316,1
2.22,-7.31,0.28,9.87,0.95,0.0,0.0,10.0,0,0,0.0,66523,1
2.27,-7.42,0.36,9.97,1.49,0.0,0.0,10.0,0,0,0.0,66732,1
2.25,-7.33,0.26,9.83,0.44,0.0,0.0,10.0,0,0,0.0,66939,1
2.25,-7.27,0.25,9.89,0.78,0.0,0.0,10.0,0,0,0.0,67146,1
2.2,-7.32,0.37,9.88,1.18,0.0,0.0,10.0,0,0,0.0,67354,1
2.23,-7.32,0.33,9.86,1.02,0.0,0.0,10.0,0,0,0.0,67562,1
2.21,-7.28,0.32,9.85,0.54,0.0,0.0,10.0,0,0,0.0,67769,1
2.2,-7.11,0.15,9.81,0.39,0.0,0.0,10.0,0,0,0.0,67976,1
2.17,-7.13,0.25,9.81,0.92,0.0,0.0,10.0,0,0,0.0,68186,1
2.19,-7.28,0.54,9.91,1.57,0.0,0.0,10.0,0,0,24.41,68394,1
2.16,-7.1,0.35,9.87,0.32,0.0,0.0,10.0,0,0,41.2,68601,1
2.16,-7.12,0.2,9.86,0.93,0.0,0.0,10.0,0,0,62.56,68809,1
2.14,-7.15,0.45,9.88,0.93,0.0,0.0,10.0,0,0,311.28,69017,1
2.13,-7.25,0.43,9.93,1.37,0.0,0.0,10.0,0,0,540.16,69225,1
2.15,-7.31,0.24,9.91,1.3,0.0,0.0,10.0,0,99,755.31,69433,1
2.21,-7.32,0.26,9.95,0.99,0.0,0.0,10.0,3,99,1115.42,69640,1
2.16,-7.29,0.55,9.88,0.74,0.0,0.0,10.0,3,99,1226.81,69855,1
2.16,-7.24,0.34,9.8,0.7,0.0,0.0,10.0,3,99,1745.61,70063,1
2.14,-7.23,0.5,9.84,0.69,0.0,0.0,10.0,3,99,2481.08,70271,1
2.15,-7.4,0.52,9.87,1.59,0.0,0.0,10.0,3,99,3222.66,70478,1
2.16,-7.58,0.41,9.85,1.72,0.0,0.0,10.0,3,99,4678.34,70686,1
2.13,-7.5,0.22,9.89,0.51,0.0,0.0,10.0,3,99,5918.88,70894,1
2.16,-7.42,0.29,9.84,0.58,0.0,0.0,10.0,3,99,8949.28,71101,1
2.18,-7.67,0.63,9.85,2.07,0.0,0.0,10.0,3,99,13713.07,71311,1
2.19,-7.85,0.68,9.83,1.71,0.0,0.0,10.0,3,99,14741.52,71518,1
2.17,-7.89,0.3,9.8,1.1,0.0,0.0,10.0,3,99,14770.51,71725,1
2.21,-7.84,0.26,9.9,0.78,0.0,0.0,10.0,3,99,15032.96,71933,1
2.18,-7.73,0.21,9.94,0.36,0.0,0.0,10.0,3,99,13343.81,72141,1
2.23,-7.69,0.19,9.89,0.93,0.0,0.0,10.0,3,99,12406.92,72349,1
2.21,-7.69,0.25,9.9,1.07,0.0,0.0,10.0,3,99,3302.0,72556,1
2.24,-7.52,0.15,9.86,0.5,0.0,0.0,10.0,3,99,8338.93,72766,1
2.24,-7.65,0.42,9.83,1.46,0.0,0.0,10.0,3,99,7592.77,72974,1
2.26,-7.6,0.19,9.92,0.8,0.0,0.0,10.0,3,99,5911.25,73182,1
2.16,-7.67,0.48,9.81,1.29,0.0,0.0,10.0,3,99,8486.94,73409,1
2.19,-7.84,0.61,10.0,1.76,0.0,0.0,10.0,3,99,8758.54,73616,1
2.22,-7.64,0.25,9.81,0.67,0.0,0.0,10.0,3,99,10809.33,73823,1
2.23,-7.5,0.14,9.85,0.44,0.0,0.0,10.0,3,99,11914.06,74030,1
2.23,-7.23,0.2,9.85,0.68,0.0,0.0,10.0,3,99,12242.13,74239,1
2.24,-7.1,0.18,9.86,0.47,0.0,0.0,10.0,3,99,12785.34,74446,1
2.21,-6.94,0.33,9.91,0.35,0.0,0.0,10.0,3,99,12710.57,74654,1
2.22,-6.99,0.54,9.9,1.08,0.0,0.0,10.0,3,99,13124.08,74862,1
2.13,-7.05,0.41,9.92,1.11,0.0,0.0,10.0,3,99,12802.12,75070,1
2.1,-7.11,0.42,9.89,1.1,0.0,0.0,10.0,3,99,12835.69,75277,1
2.09,-7.2,0.43,9.95,1.29,0.0,0.0,10.0,3,99,12686.16,75484,1
2.09,-7.28,0.33,9.83,1.19,0.0,0.0,10.0,3,99,13111.88,75694,1
2.1,-7.07,0.47,9.9,0.46,0.0,0.0,10.0,3,99,14654.54,75901,1
2.08,-7.07,0.42,9.88,0.8,0.0,0.0,10.0,3,99,14738.46,76108,1
