KalmanPitch,KalmanYaw,LinearAccelMag,TotalAccelMag,GyroMag,lat,lng,kecepatan,sat,throttle,arus,millis
6.39,-9.95,0.96,9.87,1.24,-6.910309,107.675446,0.07,12,0,9.16,671374
6.33,-9.75,0.58,9.85,0.44,-6.910309,107.675446,0.26,12,0,9.16,671581
6.36,-9.94,0.97,9.93,1.59,-6.910309,107.675446,0.22,12,0,9.16,671789
6.34,-9.82,0.66,9.99,0.38,-6.910309,107.675446,0.09,12,0,9.16,671996
6.35,-9.64,0.74,9.93,0.46,-6.910309,107.675446,0.41,12,0,9.16,672203
6.37,-9.79,0.72,9.74,1.55,-6.910309,107.675446,0.41,12,0,9.16,672412
6.37,-9.98,0.87,9.88,1.66,-6.910309,107.675446,0.15,12,0,9.16,672619
6.35,-9.99,0.74,9.92,0.93,-6.910309,107.675446,0.37,12,0,7.63,672826
6.37,-9.88,0.48,9.83,0.52,-6.910309,107.675446,0.13,12,0,7.63,673034
6.39,-9.90,0.42,9.84,0.99,-6.910309,107.675446,0.31,12,0,0.00,673241
6.31,-9.80,0.61,9.78,0.32,-6.910309,107.675446,0.13,12,0,9.16,673448
6.31,-9.53,0.50,9.82,0.80,-6.910309,107.675446,0.07,12,0,10.68,673655
6.39,-9.36,0.85,9.98,0.64,-6.910308,107.675446,0.19,12,0,10.68,673864
6.45,-9.52,0.86,10.01,1.35,-6.910308,107.675446,0.15,12,0,6.10,674072
6.40,-9.57,0.86,9.91,0.88,-6.910308,107.675446,0.15,12,0,7.63,674280
6.37,-9.57,0.70,9.88,0.69,-6.910308,107.675446,0.17,12,0,7.63,674488
6.32,-9.61,0.67,9.86,0.89,-6.910308,107.675446,0.15,12,0,9.16,674695
6.31,-9.54,0.57,9.84,0.41,-6.910308,107.675446,0.17,12,0,0.00,674902
6.36,-9.56,0.92,9.84,0.80,-6.910308,107.675446,0.24,12,0,7.63,675109
6.35,-9.85,0.82,9.95,2.07,-6.910308,107.675446,0.06,12,0,6.10,675319
6.36,-9.96,0.68,9.90,1.22,-6.910308,107.675446,0.06,12,0,9.16,675526
6.38,-9.81,0.54,9.83,0.45,-6.910308,107.675446,0.02,12,0,10.68,675734
6.40,-9.90,0.75,9.94,1.23,-6.910308,107.675446,0.17,12,0,9.16,675942
6.38,-9.83,0.60,9.86,0.39,-6.910308,107.675446,0.15,12,0,9.16,676150
6.37,-10.00,0.74,9.87,1.53,-6.910308,107.675446,0.22,12,0,7.63,676357
6.36,-10.11,0.93,9.93,1.17,-6.910308,107.675446,0.31,12,0,6.10,676564
6.39,-10.10,0.84,10.03,0.84,-6.910308,107.675446,0.07,12,0,10.68,676774
6.47,-9.86,0.88,10.00,0.89,-6.910308,107.675446,0.15,12,0,12.21,676981
6.47,-9.58,0.55,10.06,0.77,-6.910308,107.675446,0.15,12,0,9.16,677188
6.41,-10.02,0.88,9.62,2.78,-6.910308,107.675446,0.31,12,0,10.68,677396
6.41,-9.52,0.62,10.06,1.75,-6.910308,107.675446,0.20,12,0,9.16,677603
6.35,-9.38,0.45,9.90,0.28,-6.910308,107.675446,0.30,12,0,10.68,677810
